## SHO Potential w/o any bump
##k                   EV1             EV2            EV3            EV4            EV5
-10.0000000      0.00000000     0.00000000     0.00000000     0.00000000     -0.00000000
-9.89999962      0.00000000     -0.00000000    0.00000000     0.00000000     -0.00000000
-9.79999924      -0.00000000    -0.00000000    0.00000000     -0.00000000    -0.00000000
-9.69999886      -0.00000000    0.00000000     -0.00000000    -0.00000000    0.00000000
-9.59999847      0.00000000     0.00000000     -0.00000000    -0.00000000    0.00000000
-9.49999809      0.00000000     -0.00000000    -0.00000000    -0.00000000    -0.00000000
-9.39999771      0.00000000     0.00000000     0.00000000     0.00000000     -0.00000000
-9.29999733      0.00000000     0.00000000     0.00000000     0.00000000     -0.00000000
-9.19999695      -0.00000000    0.00000000     -0.00000000    0.00000000     -0.00000000
-9.09999657      0.00000000     0.00000000     -0.00000000    0.00000000     -0.00000000
-8.99999619      -0.00000000    -0.00000000    0.00000000     0.00000000     -0.00000000
-8.89999580      0.00000000     0.00000000     -0.00000000    0.00000000     -0.00000000
-8.79999542      0.00000000     -0.00000000    -0.00000000    0.00000000     -0.00000000
-8.69999504      -0.00000000    0.00000000     -0.00000000    0.00000000     -0.00000000
-8.59999466      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-8.49999428      0.00000000     -0.00000000    -0.00000000    0.00000000     -0.00000000
-8.39999390      0.00000000     -0.00000000    -0.00000000    0.00000000     -0.00000000
-8.29999352      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-8.19999313      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-8.09999275      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.99999285      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.89999294      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.79999304      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.69999313      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.59999323      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.49999332      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.39999342      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.29999352      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.19999361      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000000
-7.09999371      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000001
-6.99999380      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000001
-6.89999390      -0.00000000    -0.00000000    -0.00000000    0.00000000     -0.00000002
-6.79999399      -0.00000000    -0.00000000    -0.00000000    0.00000001     -0.00000004
-6.69999409      -0.00000000    -0.00000000    -0.00000000    0.00000001     -0.00000007
-6.59999418      -0.00000000    -0.00000000    -0.00000001    0.00000003     -0.00000012
-6.49999428      -0.00000000    -0.00000000    -0.00000001    0.00000005     -0.00000021
-6.39999437      -0.00000000    -0.00000000    -0.00000002    0.00000009     -0.00000038
-6.29999447      -0.00000000    -0.00000001    -0.00000003    0.00000016     -0.00000068
-6.19999456      -0.00000000    -0.00000001    -0.00000006    0.00000028     -0.00000119
-6.09999466      -0.00000000    -0.00000002    -0.00000010    0.00000050     -0.00000205
-5.99999475      -0.00000000    -0.00000003    -0.00000018    0.00000086     -0.00000351
-5.89999485      -0.00000001    -0.00000005    -0.00000032    0.00000149     -0.00000593
-5.79999495      -0.00000001    -0.00000010    -0.00000055    0.00000253     -0.00000991
-5.69999504      -0.00000002    -0.00000017    -0.00000095    0.00000426     -0.00001637
-5.59999514      -0.00000004    -0.00000029    -0.00000161    0.00000710     -0.00002674
-5.49999523      -0.00000006    -0.00000050    -0.00000270    0.00001170     -0.00004318
-5.39999533      -0.00000011    -0.00000084    -0.00000448    0.00001907     -0.00006892
-5.29999542      -0.00000019    -0.00000141    -0.00000736    0.00003072     -0.00010874
-5.19999552      -0.00000032    -0.00000235    -0.00001198    0.00004894     -0.00016957
-5.09999561      -0.00000053    -0.00000385    -0.00001927    0.00007709     -0.00026132
-4.99999571      -0.00000088    -0.00000626    -0.00003066    0.00012008     -0.00039798
-4.89999580      -0.00000145    -0.00001006    -0.00004827    0.00018492     -0.00059890
-4.79999590      -0.00000236    -0.00001601    -0.00007517    0.00028155     -0.00089046
-4.69999599      -0.00000379    -0.00002520    -0.00011579    0.00042375     -0.00130796
-4.59999609      -0.00000604    -0.00003927    -0.00017640    0.00063045     -0.00189780
-4.49999619      -0.00000951    -0.00006056    -0.00026579    0.00092712     -0.00271971
-4.39999628      -0.00001485    -0.00009240    -0.00039608    0.00134747     -0.00384906
-4.29999638      -0.00002294    -0.00013952    -0.00058371    0.00193537     -0.00537874
-4.19999647      -0.00003509    -0.00020844    -0.00085065    0.00274683     -0.00742045
-4.09999657      -0.00005314    -0.00030815    -0.00122583    0.00385185     -0.01010474
-3.99999666      -0.00007968    -0.00045074    -0.00174662    0.00533614     -0.01357932
-3.89999676      -0.00011827    -0.00065235    -0.00246051    0.00730208     -0.01800497
-3.79999685      -0.00017382    -0.00093413    -0.00342672    0.00986881     -0.02354837
-3.69999695      -0.00025291    -0.00132339    -0.00471759    0.01317079     -0.03037120
-3.59999704      -0.00036432    -0.00185484    -0.00641962    0.01735441     -0.03861527
-3.49999714      -0.00051959    -0.00257185    -0.00863381    0.02257214     -0.04838346
-3.39999723      -0.00073366    -0.00352767    -0.01147493    0.02897371     -0.05971698
-3.29999733      -0.00102562    -0.00478642    -0.01506946    0.03669398     -0.07256996
-3.19999743      -0.00141949    -0.00642379    -0.01955175    0.04583764     -0.08678320
-3.09999752      -0.00194506    -0.00852717    -0.02505801    0.05646071     -0.10205965
-2.99999762      -0.00263872    -0.01119497    -0.03171801    0.06854987     -0.11794491
-2.89999771      -0.00354413    -0.01453501    -0.03964420    0.08200078     -0.13381668
-2.79999781      -0.00471284    -0.01866156    -0.04891845    0.09659721     -0.14888706
-2.69999790      -0.00620458    -0.02369101    -0.05957680    0.11199341     -0.16222177
-2.59999800      -0.00808723    -0.02973585    -0.07159288    0.12770256     -0.17277893
-2.49999809      -0.01043624    -0.03689703    -0.08486114    0.14309419     -0.17946901
-2.39999819      -0.01333354    -0.04525475    -0.09918125    0.15740357     -0.18123492
-2.29999828      -0.01686568    -0.05485796    -0.11424561    0.16975541     -0.17714900
-2.19999838      -0.02112124    -0.06571289    -0.12963170    0.17920334     -0.16652001
-2.09999847      -0.02618739    -0.07777150    -0.14480150    0.18478517     -0.14900098
-1.99999845      -0.03214564    -0.09092048    -0.15910963    0.18559243     -0.12468599
-1.89999843      -0.03906691    -0.10497192    -0.17182177    0.18085037     -0.09418278
-1.79999840      -0.04700601    -0.11965670    -0.18214406    0.17000279     -0.05864802
-1.69999838      -0.05599571    -0.13462187    -0.18926322    0.15279430     -0.01977418
-1.59999835      -0.06604095    -0.14943284    -0.19239627    0.12934136     0.02027948
-1.49999833      -0.07711325    -0.16358136    -0.19084721    0.10018282     0.05901389
-1.39999831      -0.08914599    -0.17649981    -0.18406710    0.06630154     0.09377012
-1.29999828      -0.10203091    -0.18758163    -0.17171296    0.02911003     0.12195056
-1.19999826      -0.11561624    -0.19620769    -0.15370010    -0.00960378    0.14126224
-1.09999824      -0.12970688    -0.20177733    -0.13024241    -0.04777114    0.14995802
-0.999998212     -0.14406692    -0.20374249    -0.10187556    -0.08317335    0.14704859
-0.899998188     -0.15842459    -0.20164296    -0.06945886    -0.11360051    0.13245814
-0.799998164     -0.17247970    -0.19514008    -0.03415309    -0.13702570    0.10710062
-0.699998140     -0.18591328    -0.18404644    0.00262635     -0.15177908    0.07286064
-0.599998116     -0.19839916    -0.16834896    0.03927938     -0.15670496    0.03247334
-0.499998122     -0.20961690    -0.14822310    0.07411045     -0.15128524    -0.01069105
-0.399998128     -0.21926524    -0.12403649    0.10543087     -0.13571482    -0.05291996
-0.299998134     -0.22707552    -0.09634098    0.13166681     -0.11091872    -0.09050049
-0.199998140     -0.23282404    -0.06585317    0.15146401     -0.07850642    -0.12007475
-9.99981388E-02  -0.23634276    -0.03342403    0.16378079     -0.04066498    -0.13897001
1.86264515E-06   -0.23752743    0.00000039     0.16796099     0.00000061     -0.14546612
0.100001864      -0.23634271    0.03342479     0.16378058     0.04066616     -0.13896959
0.200001866      -0.23282395    0.06585390     0.15146359     0.07850747     -0.12007394
0.300001860      -0.22707538    0.09634166     0.13166621     0.11091958     -0.09049937
0.400001854      -0.21926507    0.12403708     0.10543013     0.13571542     -0.05291863
0.500001848      -0.20961669    0.14822361     0.07410959     0.15128555     -0.01068962
0.600001872      -0.19839891    0.16834936     0.03927845     0.15670494     0.03247474
0.700001895      -0.18591299    0.18404672     0.00262538     0.15177875     0.07286189
0.800001919      -0.17247940    0.19514026     -0.03415404    0.13702509     0.10710163
0.900001943      -0.15842429    0.20164305     -0.06945976    0.11359967     0.13245883
1.00000191       -0.14406661    0.20374248     -0.10187637    0.08317233     0.14704889
1.10000193       -0.12970657    0.20177722     -0.13024310    0.04777000     0.14995792
1.20000196       -0.11561594    0.19620750     -0.15370066    0.00960259     0.14126175
1.30000198       -0.10203062    0.18758137     -0.17171337    -0.02911121    0.12194974
1.40000200       -0.08914572    0.17649950     -0.18406735    -0.06630264    0.09376902
1.50000203       -0.07711299    0.16358102     -0.19084731    -0.10018380    0.05901260
1.60000205       -0.06604071    0.14943246     -0.19239623    -0.12934216    0.02027809
1.70000207       -0.05599549    0.13462149     -0.18926306    -0.15279491    -0.01977559
1.80000210       -0.04700581    0.11965631     -0.18214379    -0.17000320    -0.05864935
1.90000212       -0.03906674    0.10497154     -0.17182142    -0.18085058    -0.09418396
2.00000215       -0.03214549    0.09092012     -0.15910920    -0.18559243    -0.12468697
2.10000205       -0.02618725    0.07777116     -0.14480103    -0.18478499    -0.14900172
2.20000196       -0.02112113    0.06571257     -0.12963121    -0.17920301    -0.16652051
2.30000186       -0.01686558    0.05485767     -0.11424511    -0.16975497    -0.17714926
2.40000176       -0.01333346    0.04525450     -0.09918077    -0.15740305    -0.18123495
2.50000167       -0.01043617    0.03689680     -0.08486069    -0.14309362    -0.17946884
2.60000157       -0.00808718    0.02973566     -0.07159248    -0.12770199    -0.17277862
2.70000148       -0.00620454    0.02369085     -0.05957643    -0.11199284    -0.16222132
2.80000138       -0.00471280    0.01866143     -0.04891812    -0.09659664    -0.14888650
2.90000129       -0.00354410    0.01453489     -0.03964390    -0.08200023    -0.13381603
3.00000119       -0.00263870    0.01119487     -0.03171776    -0.06854936    -0.11794424
3.10000110       -0.00194505    0.00852709     -0.02505780    -0.05646025    -0.10205898
3.20000100       -0.00141947    0.00642373     -0.01955157    -0.04583724    -0.08678257
3.30000091       -0.00102561    0.00478637     -0.01506932    -0.03669364    -0.07256938
3.40000081       -0.00073365    0.00352763     -0.01147481    -0.02897342    -0.05971646
3.50000072       -0.00051959    0.00257183     -0.00863372    -0.02257191    -0.04838301
3.60000062       -0.00036432    0.00185482     -0.00641955    -0.01735422    -0.03861489
3.70000052       -0.00025291    0.00132337     -0.00471753    -0.01317064    -0.03037088
3.80000043       -0.00017382    0.00093412     -0.00342667    -0.00986869    -0.02354811
3.90000033       -0.00011827    0.00065235     -0.00246048    -0.00730199    -0.01800476
4.00000048       -0.00007968    0.00045074     -0.00174659    -0.00533607    -0.01357915
4.10000038       -0.00005314    0.00030814     -0.00122581    -0.00385180    -0.01010461
4.20000029       -0.00003509    0.00020844     -0.00085064    -0.00274679    -0.00742035
4.30000019       -0.00002294    0.00013951     -0.00058370    -0.00193535    -0.00537867
4.40000010       -0.00001485    0.00009240     -0.00039607    -0.00134745    -0.00384900
4.50000000       -0.00000951    0.00006056     -0.00026579    -0.00092710    -0.00271967
4.59999990       -0.00000604    0.00003927     -0.00017639    -0.00063044    -0.00189777
4.69999981       -0.00000379    0.00002520     -0.00011578    -0.00042375    -0.00130794
4.79999971       -0.00000236    0.00001601     -0.00007517    -0.00028154    -0.00089044
4.89999962       -0.00000145    0.00001006     -0.00004827    -0.00018492    -0.00059889
4.99999952       -0.00000088    0.00000626     -0.00003066    -0.00012008    -0.00039797
5.09999943       -0.00000053    0.00000385     -0.00001927    -0.00007709    -0.00026132
5.19999933       -0.00000032    0.00000235     -0.00001198    -0.00004894    -0.00016957
5.29999924       -0.00000019    0.00000141     -0.00000736    -0.00003072    -0.00010874
