## SHO Potential w bump function 10*(exp(-5*(x**2))) 
##k                   EV1             EV2            EV3            EV4            EV5
-10.0000000      -0.00000000    0.00000000     -0.00000000    -0.00000000    0.00000000
-9.89999962      -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
-9.79999924      -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000
-9.69999886      0.00000000     -0.00000000    -0.00000000    -0.00000000    -0.00000000
-9.59999847      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
-9.49999809      0.00000000     0.00000000     -0.00000000    0.00000000     0.00000000
-9.39999771      -0.00000000    0.00000000     0.00000000     0.00000000     0.00000000
-9.29999733      -0.00000000    -0.00000000    0.00000000     -0.00000000    0.00000000
-9.19999695      -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
-9.09999657      -0.00000000    0.00000000     0.00000000     0.00000000     0.00000000
-8.99999619      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
-8.89999580      0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
-8.79999542      -0.00000000    -0.00000000    0.00000000     0.00000000     0.00000000
-8.69999504      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-8.59999466      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-8.49999428      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-8.39999390      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-8.29999352      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-8.19999313      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-8.09999275      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.99999285      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.89999294      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.79999304      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.69999313      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.59999323      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.49999332      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000000
-7.39999342      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000001
-7.29999352      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000001
-7.19999361      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000002
-7.09999371      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000004
-6.99999380      0.00000000     -0.00000000    0.00000000     0.00000000     0.00000007
-6.89999390      0.00000000     -0.00000000    0.00000001     0.00000001     0.00000012
-6.79999399      0.00000000     -0.00000000    0.00000001     0.00000002     0.00000023
-6.69999409      0.00000000     -0.00000000    0.00000003     0.00000003     0.00000041
-6.59999418      0.00000000     -0.00000000    0.00000005     0.00000006     0.00000073
-6.49999428      0.00000000     -0.00000000    0.00000009     0.00000010     0.00000130
-6.39999437      0.00000001     -0.00000001    0.00000016     0.00000019     0.00000227
-6.29999447      0.00000001     -0.00000001    0.00000029     0.00000034     0.00000391
-6.19999456      0.00000002     -0.00000002    0.00000051     0.00000059     0.00000667
-6.09999466      0.00000003     -0.00000004    0.00000090     0.00000104     0.00001125
-5.99999475      0.00000006     -0.00000007    0.00000155     0.00000179     0.00001875
-5.89999485      0.00000011     -0.00000012    0.00000265     0.00000305     0.00003088
-5.79999495      0.00000019     -0.00000020    0.00000448     0.00000515     0.00005025
-5.69999504      0.00000033     -0.00000035    0.00000749     0.00000859     0.00008080
-5.59999514      0.00000057     -0.00000061    0.00001238     0.00001418     0.00012836
-5.49999523      0.00000096     -0.00000103    0.00002024     0.00002313     0.00020145
-5.39999533      0.00000162     -0.00000173    0.00003270     0.00003730     0.00031232
-5.29999542      0.00000269     -0.00000288    0.00005224     0.00005948     0.00047823
-5.19999552      0.00000443     -0.00000474    0.00008251     0.00009378     0.00072320
-5.09999561      0.00000723     -0.00000772    0.00012885     0.00014615     0.00107995
-4.99999571      0.00001166     -0.00001245    0.00019889     0.00022514     0.00159225
-4.89999580      0.00001861     -0.00001985    0.00030346     0.00034283     0.00231750
-4.79999590      0.00002938     -0.00003133    0.00045766     0.00051594     0.00332932
-4.69999599      0.00004591     -0.00004892    0.00068213     0.00076736     0.00472002
-4.59999609      0.00007098     -0.00007557    0.00100474     0.00112778     0.00660235
-4.49999619      0.00010858     -0.00011550    0.00146237     0.00163772     0.00911018
-4.39999628      0.00016433     -0.00017466    0.00210296     0.00234960     0.01239724
-4.29999638      0.00024604     -0.00026129    0.00298764     0.00332996     0.01663324
-4.19999647      0.00036444     -0.00038670    0.00419268     0.00466142     0.02199651
-4.09999657      0.00053404     -0.00056614    0.00581118     0.00644419     0.02866225
-3.99999666      0.00077411     -0.00081991    0.00795392     0.00879676     0.03678595
-3.89999676      0.00110998     -0.00117455    0.01074907     0.01185514     0.04648165
-3.79999685      0.00157428     -0.00166426    0.01434019     0.01577019     0.05779547
-3.69999695      0.00220844     -0.00233236    0.01888185     0.02070243     0.07067561
-3.59999704      0.00306407     -0.00323271    0.02453251     0.02681370     0.08494102
-3.49999714      0.00420434     -0.00443108    0.03144396     0.03425526     0.10025198
-3.39999723      0.00570496     -0.00600611    0.03974715     0.04315209     0.11608690
-3.29999733      0.00765480     -0.00804983    0.04953443     0.05358351     0.13173051
-3.19999743      0.01015562     -0.01066730    0.06083867     0.06556084     0.14627878
-3.09999752      0.01332089     -0.01397519    0.07361022     0.07900320     0.15866581
-2.99999762      0.01727318     -0.01809894    0.08769339     0.09371346     0.16771641
-2.89999771      0.02214003     -0.02316827    0.10280483     0.10935690     0.17222618
-2.79999781      0.02804784     -0.02931065    0.11851652     0.12544571     0.17106721
-2.69999790      0.03511387     -0.03664287    0.13424682     0.14133290     0.16331400
-2.59999800      0.04343621     -0.04526046    0.14926292     0.15621913     0.14837946
-2.49999809      0.05308192     -0.05522534    0.16269796     0.16917556     0.12614666
-2.39999819      0.06407379     -0.06655217    0.17358492     0.17918494     0.09707878
-2.29999828      0.07637652     -0.07919409    0.18090880     0.18520148     0.06228851
-2.19999838      0.08988294     -0.09302887    0.18367590     0.18622811     0.02354831
-2.09999847      0.10440190     -0.10784680    0.18099758     0.18140724     -0.01677207
-1.99999845      0.11964887     -0.12334163    0.17218304     0.17011872     -0.05584838
-1.89999843      0.13524086     -0.13910630    0.15683352     0.15207631     -0.09062228
-1.79999840      0.15069710     -0.15463459    0.13492837     0.12741201     -0.11808578
-1.69999838      0.16544663     -0.16933022    0.10689232     0.09673704     -0.13560427
-1.59999835      0.17884382     -0.18252415    0.07363348     0.06116871     -0.14124317
-1.49999833      0.19019203     -0.19350023    0.03654261     0.02231396     -0.13405630
-1.39999831      0.19877546     -0.20152920    -0.00255267    -0.01779593    -0.11429347
-1.29999828      0.20389839     -0.20590999    -0.04148163    -0.05682054    -0.08348923
-1.19999826      0.20493213     -0.20601855    -0.07787042    -0.09227209    -0.04440651
-1.09999824      0.20137137     -0.20136552    -0.10932433    -0.12171725    -0.00082331
-0.999998212     0.19290601     -0.19166852    -0.13364881    -0.14301318    0.04283451
-0.899998188     0.17951748     -0.17694693    -0.14911051    -0.15457535    0.08200363
-0.799998164     0.16160302     -0.15764089    -0.15473816    -0.15567112    0.11262100
-0.699998140     0.14010304     -0.13472595    -0.15063522    -0.14670070    0.13184649
-0.599998116     0.11655635     -0.10974479    -0.13820496    -0.12935366    0.13874227
-0.499998122     0.09297357     -0.08464407    -0.12010926    -0.10645838    0.13464514
-0.399998128     0.07147501     -0.06136483    -0.09981176    -0.08139229    0.12292240
-0.299998134     0.05380620     -0.04130280    -0.08078103    -0.05716651    0.10803360
-0.199998140     0.04099515     -0.02490112    -0.06572122    -0.03558447    0.09427474
-9.99981388E-02  0.03336242     -0.01158274    -0.05623783    -0.01688964    0.08483371
1.86264515E-06   0.03084323     0.00000037     -0.05302125    0.00000013     0.08150221
0.100001864      0.03336250     0.01158355     -0.05623822    0.01688993     0.08483397
0.200001866      0.04099531     0.02490210     -0.06572199    0.03558479     0.09427522
0.300001860      0.05380639     0.04130403     -0.08078219    0.05716684     0.10803421
0.400001854      0.07147518     0.06136638     -0.09981322    0.08139257     0.12292300
0.500001848      0.09297361     0.08464593     -0.12011090    0.10645849     0.13464551
0.600001872      0.11655617     0.10974690     -0.13820662    0.12935348     0.13874226
0.700001895      0.14010256     0.13472823     -0.15063673    0.14670015     0.13184600
0.800001919      0.16160217     0.15764325     -0.15473937    0.15567017     0.11262000
0.900001943      0.17951626     0.17694929     -0.14911132    0.15457403     0.08200222
1.00000191       0.19290446     0.19167081     -0.13364917    0.14301157     0.04283283
1.10000193       0.20136955     0.20136772     -0.10932422    0.12171549     -0.00082508
1.20000196       0.20493008     0.20602059     -0.07786986    0.09227029     -0.04440818
1.30000198       0.20389619     0.20591187     -0.04148066    0.05681884     -0.08349065
1.40000200       0.19877318     0.20153090     -0.00255136    0.01779445     -0.11429449
1.50000203       0.19018975     0.19350176     0.03654419     -0.02231514    -0.13405686
1.60000205       0.17884156     0.18252547     0.07363523     -0.06116953    -0.14124321
1.70000207       0.16544446     0.16933136     0.10689417     -0.09673745    -0.13560381
1.80000210       0.15069506     0.15463556     0.13493024     -0.12741200    -0.11808487
1.90000212       0.13523897     0.13910712     0.15683535     -0.15207591    -0.09062102
2.00000215       0.11964714     0.12334230     0.17218475     -0.17011794    -0.05584687
2.10000205       0.10440034     0.10784732     0.18099914     -0.18140614    -0.01677044
2.20000196       0.08988155     0.09302928     0.18367728     -0.18622677    0.02354995
2.30000186       0.07637531     0.07919441     0.18090998     -0.18519996    0.06229004
2.40000176       0.06407275     0.06655241     0.17358590     -0.17918330    0.09708012
2.50000167       0.05308103     0.05522552     0.16269875     -0.16917387    0.12614774
2.60000157       0.04343547     0.04526059     0.14926356     -0.15621747    0.14838026
2.70000148       0.03511326     0.03664296     0.13424729     -0.14133129    0.16331448
2.80000138       0.02804733     0.02931070     0.11851683     -0.12544417    0.17106735
2.90000129       0.02213962     0.02316830     0.10280501     -0.10935546    0.17222603
3.00000119       0.01727285     0.01809896     0.08769347     -0.09371215    0.16771602
3.10000110       0.01332063     0.01397519     0.07361024     -0.07900204    0.15866524
3.20000100       0.01015542     0.01066729     0.06083865     -0.06555983    0.14627810
3.30000091       0.00765464     0.00804982     0.04953438     -0.05358265    0.13172977
3.40000081       0.00570484     0.00600610     0.03974708     -0.04315137    0.11608615
3.50000072       0.00420425     0.00443107     0.03144389     -0.03425467    0.10025124
3.60000062       0.00306400     0.00323270     0.02453244     -0.02681322    0.08494034
3.70000052       0.00220839     0.00233235     0.01888178     -0.02070205    0.07067499
3.80000043       0.00157425     0.00166426     0.01434013     -0.01576989    0.05779492
3.90000033       0.00110995     0.00117454     0.01074903     -0.01185491    0.04648118
4.00000048       0.00077409     0.00081990     0.00795388     -0.00879658    0.03678556
4.10000038       0.00053402     0.00056614     0.00581114     -0.00644406    0.02866193
4.20000029       0.00036444     0.00038669     0.00419265     -0.00466132    0.02199625
4.30000019       0.00024603     0.00026128     0.00298762     -0.00332989    0.01663303
4.40000010       0.00016432     0.00017465     0.00210295     -0.00234955    0.01239708
4.50000000       0.00010858     0.00011550     0.00146236     -0.00163768    0.00911006
4.59999990       0.00007098     0.00007557     0.00100474     -0.00112775    0.00660226
4.69999981       0.00004591     0.00004892     0.00068213     -0.00076734    0.00471995
4.79999971       0.00002938     0.00003133     0.00045765     -0.00051593    0.00332927
4.89999962       0.00001860     0.00001985     0.00030346     -0.00034282    0.00231746
4.99999952       0.00001166     0.00001245     0.00019889     -0.00022514    0.00159223
5.09999943       0.00000723     0.00000772     0.00012884     -0.00014614    0.00107993
5.19999933       0.00000443     0.00000474     0.00008251     -0.00009377    0.00072319
5.29999924       0.00000269     0.00000288     0.00005224     -0.00005948    0.00047822
5.39999914       0.00000162     0.00000173     0.00003270     -0.00003730    0.00031231
5.49999905       0.00000096     0.00000103     0.00002024     -0.00002313    0.00020145
5.59999895       0.00000057     0.00000061     0.00001238     -0.00001418    0.00012836
5.69999886       0.00000033     0.00000035     0.00000749     -0.00000859    0.00008080
5.79999876       0.00000019     0.00000020     0.00000448     -0.00000515    0.00005025
5.89999866       0.00000011     0.00000012     0.00000265     -0.00000305    0.00003088
5.99999857       0.00000006     0.00000007     0.00000155     -0.00000179    0.00001875
6.09999847       0.00000003     0.00000004     0.00000090     -0.00000104    0.00001125
6.19999838       0.00000002     0.00000002     0.00000051     -0.00000059    0.00000667
